Name,Image,Description,Category,Rating (out of 10),Playtime (mins),Players,Difficulty (out of 5)
Ca$h 'n Gun$,=IMAGE("https://cf.geekdo-images.com/_UpTZr1itCcHdnnbuTUnQQ__original/img/M1LCTvcRyUZPGk3tJge3MzKo9Hw=/0x0/filters:format(jpeg)/pic87523.jpg"),"In an abandoned warehouse a gangster band is splitting its loot, but they can’t get an agreement on the split!  It’s time to let the guns talk and soon everyone is aiming at everyone. The richest surviving gangster wins the game!

Ca$h 'n Gun$ will make you relive the best scenes of your favorite gangster movies. Fun, bluffing, and tough negotiations are guaranteed, but will you dare to play? It's simply killing!

On each turn, a player will assume the role of ""The Don"", and will call out the steps in gameplay.

Before the skirmish itself, an available pot of cash will be laid out before the players. This pot must be evenly split up amongst all of the surviving hoods.

After that, the ""Don"" of the round will ask the players, including himself, to load their guns (in the form of selecting one of three possible cards: ""Bang!"", ""Bang! Bang! Bang!"" or ""Click! Click!"" from a set of 8 cards: 2 ""Bang!""s, 1 Triple-""Bang!"" and 5 ""Clicks!""), and then count down to all of the players aiming their guns (real foam guns).

Each player will then take a look at how many guns are pointed at them, and also take a look at the available pot of cash for the round before deciding if they want to ""Chicken Out"" and remove themselves from the skirmish. If they choose to back down, they will get a ""Chicken"" token which will deduct from their ill-gotten gains at the end of the game.
But all players have to ""Chicken Out"" at the same time, using a countdown like the aiming.

The remaining players will resolve the shootout showing their cards. First, all Triple-""Bangs!"" wound the players they are aimed at. If there are still-aiming players with ""Bang!"" cards, those now wound their targets. ""Click!""s are only bluffs and do nothing. A player that is wounded during the standoff does not participate in the split of the cash and receives a bandage (any player that receives a certain number of bandages is eliminated from the game). Now all the used cards are discarded--even those of the players that ""Chickened Out"".

Now the remaining players will finally split the cash. If the cash cannot be divided evenly, the rest is kept on the table and is added to the new pot.

The game is played 8 rounds, until all cards were played. Keeping track of the cards is important, since all players have only a limited supply of ""real"" shots.

There are a couple of expansions packed-in with most editions that change some of the mechanics of the game, and also add a new ""traitor""-based mechanic, as well.

","Bluffing, Card Game, Fighting, Humor, Mafia, Negotiation, Party Game",6.55685,30,4 to 6,1.2738
Robinson Crusoe: Adventures on the Cursed Island – Treasure Chest,=IMAGE("https://cf.geekdo-images.com/4JZAemz5uVrDi9zBFtuMWw__original/img/4lBaCMHBBk42J5a1XybzSKZBmGA=/0x0/filters:format(jpeg)/pic5281174.jpg"),"Treasure Chest is a special expansion including a complete set of Robinson Crusoe promos that have been released up to 2020, thereby giving players an enormous amount of content and variability to the game.

Inside the box players will find extra Characters (Gamer and Sailor), a set of Crewmen, Hunting Dog, Character Trait cards, additional Mystery cards, Event cards, Discovery Tokens, Searching the Beach cards, Volcano tile, and even an epic Spyglass. Hunting will also get more exciting with new Beast cards and Hunting Adventures cards. Robinson's shelter will get an option of upgrading and adding a Garden and Pen. Treasure Chest will also include four additional scenarios: Tracing Dr. Livingstone, Treasure Island, Poachers, and Time Travel.

—description from the publisher

","Expansion for Base-game, Adventure, Animals, Exploration, Farming, Novel-based",8.10518,120,1 to 4,3.5
221B Baker Street: The Master Detective Game,=IMAGE("https://cf.geekdo-images.com/gQmGtlaUCX59aJa8QxAQKg__original/img/KiN3NtgPcczeygTAN7-hhIrS2Mc=/0x0/filters:format(png)/pic7291009.png"")","221B Baker Street is the London address of the world's most celebrated fictional detective, Sherlock Holmes, and his dedicated companion, Dr. Watson. In this game you start at 221B and travel through the streets and alleys of London picking up clues and attempting to solve the most intriguing cases Holmes and Watson have ever faced.

Each player assumes the role of Holmes and matches wits with the other players to determine who possesses the most skillful powers of deduction.  Each case is represented by a card that features a crime told in story form, a selection of probable suspects and a list of locations involved in that crime. Clues are hidden throughout London, one in each of fourteen locations. Players must collect clues from each location, noting them down on their checklists as they attempt to find the answers to the questions listed on the case card.

Naturally, the crime scene will often contain vital clues, and a prudent detective always checks with the neighbors. Still, you can learn something vital almost anywhere in town.  The first player to figure out the correct answers to a particular mystery or crime, return to 221B and announce the solution, is the winner.

The original 221B Baker Street Board game was created and copyrighted by American writer Jay Moriarty (dba Antler Productions) in 1975.  The Brazilian version of this game is known as Scotland Yard, not to be confused with the 1983 Spiel des Jahres winner also called Scotland Yard.

","Deduction, Murder/Mystery, Novel-based",5.98774,90,2 to 6,1.7979
The Crew: The Quest for Planet Nine,=IMAGE("https://cf.geekdo-images.com/98LnQShydr11OBKS46xY-Q__original/img/Q-ZkgnuBu9OTBr7J3qnqPjqamAE=/0x0/filters:format(jpeg)/pic5687013.jpg"),"In the co-operative trick-taking game The Crew: The Quest for Planet Nine, the players set out as astronauts on an uncertain space adventure. What are the rumors regarding the unknown planet about? The eventful journey through space extends over 50 exciting missions. But this game can only be defeated by meeting common individual tasks of each player. In order to meet the varied challenges communication is essential in the team. But this is more difficult than expected in space.

With each mission the game becomes more difficult. After each mission the game can be paused and continued later. During each mission it is not the number of tricks but the right tricks at the right time that count.

The team completes a mission only if every single player is successful in fulfilling their tasks.

The game comes with 50 missions, with three additional missions published in spielbox 2/2020.

","Card Game, Science Fiction, Space Exploration",7.86112,20,2 to 5,1.9774
Fluxx,=IMAGE("https://cf.geekdo-images.com/ZBQHRlhd32wt4F_zgeic6w__original/img/6-0pkob0RUXgRyxGPJ2ZKyYObxw=/0x0/filters:format(jpeg)/pic2405641.jpg"),"Fluxx is a card game in which the cards themselves determine the current rules of the game. By playing cards, you change numerous aspects of the game: how to draw cards, how to play cards, and even how to win.

At the start of the game, each player holds three cards and on a turn a player draws one card, then plays one card. By playing cards, you can put new rules into play that change numerous aspects of the game: how many cards to draw or play, how many cards you can hold in hand or keep on the table in front of you, and (most importantly) how to win the game. There are many editions, themed siblings, and promo cards available.

",Card Game,5.67282,30,2 to 6,1.3882
Pit,=IMAGE("https://cf.geekdo-images.com/LkEPNu7bPTS1rVRU_Ba-Dg__original/img/rLq4S5WQ8ns2Ez3n3RIwe1_ZI8Y=/0x0/filters:format(jpeg)/pic423644.jpg"),"Pit is an open-outcry commodity trading game. The first edition in 1903 had a deck of 63 cards, 9 each of 7 commodities, each with a value (ranging from 40 for Flax to 100 for Wheat). Players offer trades by crying out the number of cards they want to swap (“One! One! One!”, or “Three! Three! Three!”) but not their identity. The winner of the hand is the first to collect all of one commodity, declaring “Corner on Wheat!” or whatever commodity has been collected. The winner of the hand scores points equal to the value of the commodity, and the winner of the game is the first to 500 points.

The 1904 Edition of Pit added much fancier artwork and the famous Bull and Bear cards, which provide wild-card and penalty features. The early editions allowed a maximum of 7 players, but later versions supported 8 and in at least one case up to 10.

Pit’s designer, noted psychic Edgar Cayce, is often accused of having stolen the idea from the game Gavitt’s Stock Exchange (G-S-E) invented by Harry Gavitt. While G-S-E claimed patents dating as early as 1896, it involved trading railway shares, and was only copyrighted and published in 1903, the same year as Pit.  In addition, the only related patent assigned to Gavitt is US746492 A, filed October 7, 1903, and granted December 8, 1903.  Also hitting the market in 1903 was Bourse', a remarkably similar open-outcry commodity trading game from Flinch Card Co., using an 80-card deck with 10 each of 8 commodities, and Panic, using a 65 card deck with 8 each of 8 commodities and a Panic card, roughly equivalent to the Bull.  Pit, however, seems to have cornered the market on open-outcry games, as neither of its competitors were seen again after 1904.

","Card Game, Economic, Party Game",6.3811,90,3 to 8,1.1569
Chess,=IMAGE("https://cf.geekdo-images.com/0-DjGBOko6RV8zg5ejhYIg__original/img/0pn_QgMuWaIJb2Q7aZNfORse0_o=/0x0/filters:format(jpeg)/pic260745.jpg"),"Chess is a two-player, abstract strategy board game that represents medieval warfare on an 8x8 board with alternating light and dark squares. Opposing pieces, traditionally designated White and Black, are initially lined up on either side. Each type of piece has a unique form of movement and capturing occurs when a piece, via its movement, occupies the square of an opposing piece. Players take turns moving one of their pieces in an attempt to capture, attack, defend, or develop their positions. Chess games can end in checkmate, resignation, or one of several types of draws. Chess is one of the most popular games in the world, played by millions of people worldwide at home, in clubs, online, by correspondence, and in tournaments. Between two highly skilled players, chess can be a beautiful thing to watch, and a game can provide great entertainment even for novices. There is also a large literature of books and periodicals about chess, typically featuring games and commentary by chess masters.

The game has its origins in the Indian game Chaturanga, and became Shatranj when introduced to the Persians. The current form of the game emerged in the second half of the 15th century when the Persians brought Shatranj to Southern Europe. The tradition of organized competitive chess began in the 16th century. The first official World Chess Champion, Wilhelm Steinitz, claimed his title in 1886. The current World Champion is Magnus Carlsen, Norway. Chess is also a recognized sport of the International Olympic Committee.

",Abstract Strategy,7.18107,0,2 to 2,3.6645
Chinese Checkers,=IMAGE("https://cf.geekdo-images.com/MFhxbJJRHjIb4oWn70pJuQ__original/img/zvWQ28-I0i77QCaJlbNagykZHGo=/0x0/filters:format(jpeg)/pic113974.jpg"),"Chinese Checkers, or Stern-Halma, is a version of Halma supporting up to six players. Parenthetically, it is neither Chinese nor is it Checkers. In many countries, it's known as Chinese Chess or China-Chess which is even less accurate and definitely shouldn't be confused with Xiangqi which is the true Chess variant from China.

Players jump over their own and/or their opponents' pieces with the objective of being the first to move all their pieces from one side to the opposing side.

Re-implements

    Halma


",Abstract Strategy,5.16366,30,2 to 6,1.6038
Carcassonne,=IMAGE("https://cf.geekdo-images.com/okM0dq_bEXnbyQTOvHfwRA__original/img/aVZEXAI-cUtuunNfPhjeHlS4fwQ=/0x0/filters:format(png)/pic6544250.png"")","Carcassonne is a tile-placement game in which the players draw and place a tile with a piece of southern French landscape on it. The tile might feature a city, a road, a cloister, grassland or some combination thereof, and it must be placed adjacent to tiles that have already been played, in such a way that cities are connected to cities, roads to roads, etcetera. Having placed a tile, the player can then decide to place one of their meeples on one of the areas on it: on the city as a knight, on the road as a robber, on a cloister as a monk, or on the grass as a farmer. When that area is complete, that meeple scores points for its owner.

During a game of Carcassonne, players are faced with decisions like: ""Is it really worth putting my last meeple there?"" or ""Should I use this tile to expand my city, or should I place it near my opponent instead, giving him a hard time to complete their project and score points?"" Since players place only one tile and have the option to place one meeple on it, turns proceed quickly even if it is a game full of options and possibilities.

First game in the Carcassonne series.

","City Building, Medieval, Territory Building",7.41089,45,2 to 5,1.9003
Sushi Go!,=IMAGE("https://cf.geekdo-images.com/Fn3PSPZVxa3YurlorITQ1Q__original/img/5vRsn2TT9eJmq27i9HtLWKpB_xs=/0x0/filters:format(jpeg)/pic1900075.jpg"),"In the super-fast sushi card game Sushi Go!, you are eating at a sushi restaurant and trying to grab the best combination of sushi dishes as they whiz by. Score points for collecting the most sushi rolls or making a full set of sashimi. Dip your favorite nigiri in wasabi to triple its value! And once you've eaten it all, finish your meal with all the pudding you've got! But be careful which sushi you allow your friends to take; it might be just what they need to beat you!

Sushi Go! takes the card-drafting mechanism of Fairy Tale and 7 Wonders and distills it into a twenty-minute game that anyone can play. The dynamics of ""draft and pass"" are brought to the fore, while keeping the rules to a minimum. As you see the first few hands of cards, you must quickly assess the make-up of the round and decide which type of sushi you'll go for. Then, each turn you'll need to weigh which cards to keep and which to pass on. The different scoring combinations allow for some clever plays and nasty blocks. Round to round, you must also keep your eye on the goal of having the most pudding cards at the end of the game!

",Card Game,7.0169,15,2 to 5,1.1595
Sushi Go Party!,=IMAGE("https://cf.geekdo-images.com/2f9uTicUSXkdPp2Yks6zFw__original/img/WQcFmlhYBMIp8f6gNNVhnnue1w4=/0x0/filters:format(jpeg)/pic5885689.jpg"),"Sushi Go Party! expands Sushi Go! with a party platter of mega maki, super sashimi, and endless edamame. You still earn points by picking winning sushi combos, but now you can customize each game by choosing à la carte from a menu of more than twenty delectable dishes. What's more, up to eight players can join in on the sushi-feast. Let the good times roll!

—description from the publisher

","Card Game, Party Game",7.41301,20,2 to 8,1.3025
